name,ts,lec_seats,lab_seats,disc_seats,sem_seats,WL,min_indx,Open
EECS 489 - Computer Networks,1586246290.501483,109,0,109,0,0,disc_seats,1
EECS 490 - Programming Languages,1586246290.935709,154,0,154,0,0,disc_seats,1
EECS 492 - Introduction to Artificial Intelligence,1586246291.377611,149,0,149,0,0,disc_seats,1
EECS 493 - User Interface Development,1586246291.8324878,217,0,217,0,0,disc_seats,1
EECS 494 - Computer Game Design and Development,1586246292.198805,72,0,0,0,0,lec_seats,1
EECS 495 - Software Development for Accessibility,1586246292.5839,58,0,58,0,0,disc_seats,1
EECS 496 - Major Design Experience-Professionalism,1586246292.948073,405,0,0,0,0,lec_seats,1
EECS 497 - Human-Centered Software Design and Development,1586246293.3037,95,0,0,0,0,lec_seats,1
EECS 498 - Special Topics,1586246293.783401,476,40,60,0,0,lab_seats,1
EECS 499 - Advanced Directed Study,1586246295.653645,0,0,0,0,0,null,0
EECS 300 - Electrical Engineering Systems Design II,1586249344.675266,25,25,0,0,0,lab_seats,1
EECS 301 - Probabilistic Methods in Engineering,1586249345.052765,64,0,64,0,0,disc_seats,1
EECS 311 - Analog Circuits,1586249345.423894,30,21,0,0,0,lab_seats,1
EECS 312 - Digital Integrated Circuits,1586249345.794464,31,0,31,0,0,disc_seats,1
"EECS 314 - Electrical Circuits, Systems and Applications",1586249346.2809448,157,157,157,0,0,lab_seats,1
EECS 320 - Introduction to Semiconductor Devices,1586249346.656558,54,0,54,0,0,disc_seats,1
EECS 330 - Introduction to Antennas and Wireless Systems,1586249347.1653178,29,29,0,0,0,lab_seats,1
EECS 334 - Principles of Optics,1586249347.543328,24,0,24,0,0,disc_seats,1
EECS 351 - Introduction to Digital Signal Processing,1586249348.1811142,45,0,45,0,0,disc_seats,1
EECS 367 - Introduction to Autonomous Robotics,1586249348.787053,56,56,0,0,0,lab_seats,1
EECS 370 - Introduction to Computer Organization,1586249349.616364,622,0,617,0,0,disc_seats,1
EECS 373 - Introduction to Embedded System Design,1586249350.1532202,58,58,0,0,0,lab_seats,1
EECS 376 - Foundations of Computer Science,1586249351.515445,915,0,566,0,0,disc_seats,1
EECS 388 - Introduction to Computer Security,1586249352.118526,364,364,0,0,0,lab_seats,1
EECS 399 - Directed Study,1586249354.814024,0,0,0,0,0,null,0
EECS 402 - Computer Programming for Scientists and Engineers,1586249355.2604852,26,0,26,0,0,disc_seats,1
EECS 409 - Data Science Seminar,1586249355.620626,0,0,0,0,0,null,0
EECS 411 - M-Wave Circ I,1586249356.05468,15,15,0,0,0,lab_seats,1
EECS 413 - Monolith Amplifier Circuits,1586249356.446765,38,38,0,0,0,lab_seats,1
EECS 414 - Intro to MEMS,1586249356.821207,52,0,52,0,0,disc_seats,1
EECS 417 - Electrical Biophysics,1586249357.332385,22,0,0,0,0,lec_seats,1
EECS 418 - Power Electronics,1586249357.704584,28,14,0,0,0,lab_seats,1
EECS 421 - Properties of Transistors,1586249358.1201332,23,0,23,0,0,disc_seats,1
EECS 423 - Sol State Dev Lab,1586249358.4984372,3,3,0,0,0,lab_seats,1
EECS 427 - Very Large Scale Integrated Design I,1586249358.885492,35,35,0,0,0,lab_seats,1
EECS 428 - Introduction to Quantum Nanotechnology,1586249359.2568152,32,0,0,0,0,lec_seats,1
EECS 434 - Princ of Photonics,1586249359.671705,20,0,20,0,0,disc_seats,1
EECS 438 - Adv Lasers Lab,1586249360.0861928,5,5,0,0,0,lab_seats,1
EECS 441 - Mobile App Development for Entrepreneurs,1586249360.6056461,246,0,160,0,0,disc_seats,1
EECS 442 - Computer Vision,1586249361.006748,137,0,137,0,0,disc_seats,1
EECS 443 - Senior ThesisL,1586249361.4907808,0,0,0,0,0,null,0
EECS 445 - Introduction to Machine Learning,1586249361.9476402,303,0,303,0,0,disc_seats,1
EECS 452 - Digital Signal Processing Design Laboratory,1586249362.370095,29,29,0,0,0,lab_seats,1
EECS 455 - Wireless Communication Systems,1586249362.759551,25,0,25,0,0,disc_seats,1
EECS 458 - Biomedical Instrumentation and Design,1586249363.195799,81,81,0,0,0,lab_seats,1
EECS 460 - Control Systems Analysis and Design,1586249363.634668,47,0,47,0,0,disc_seats,1
EECS 461 - Embedded Control Systems,1586249364.0926442,96,96,0,0,0,lab_seats,1
EECS 463 - Power Systems Design and Operations,1586249364.46225,37,0,0,0,0,lec_seats,1
EECS 467 - Autonomous Robotics Design Experience,1586249364.8552902,27,27,0,0,0,lab_seats,1
EECS 470 - Computer Architecture,1586249365.286617,42,42,0,0,0,lab_seats,1
EECS 473 - Advanced Embedded Systems,1586249365.8061981,42,42,0,0,0,lab_seats,1
EECS 477 - Introduction to Algorithms,1586249366.190557,77,0,77,0,0,disc_seats,1
EECS 478 - Logic Circuit Synthesis and Optimization,1586249366.573876,50,0,50,0,0,disc_seats,1
EECS 480 - Social Computing Systems,1586249366.9426072,42,0,42,0,0,disc_seats,1
EECS 481 - Software Engineering,1586249367.340271,147,0,147,0,0,disc_seats,1
EECS 482 - Introduction to Operating Systems,1586249367.765462,233,233,0,0,0,lab_seats,1
EECS 483 - Compiler Construction,1586249368.136982,70,0,0,0,0,lec_seats,1
EECS 484 - Database Management Systems,1586249368.704319,340,0,340,0,0,disc_seats,1
EECS 485 - Web Systems,1586249369.259276,494,414,0,0,0,lab_seats,1
EECS 489 - Computer Networks,1586249369.641548,109,0,109,0,0,disc_seats,1
EECS 490 - Programming Languages,1586249370.205097,154,0,154,0,0,disc_seats,1
EECS 492 - Introduction to Artificial Intelligence,1586249370.78769,149,0,149,0,0,disc_seats,1
EECS 493 - User Interface Development,1586249371.217002,217,0,217,0,0,disc_seats,1
EECS 494 - Computer Game Design and Development,1586249371.53456,72,0,0,0,0,lec_seats,1
EECS 495 - Software Development for Accessibility,1586249371.921737,58,0,58,0,0,disc_seats,1
EECS 496 - Major Design Experience-Professionalism,1586249372.2745779,405,0,0,0,0,lec_seats,1
EECS 497 - Human-Centered Software Design and Development,1586249372.660567,95,0,0,0,0,lec_seats,1
EECS 498 - Special Topics,1586249373.109643,476,40,60,0,0,lab_seats,1
EECS 499 - Advanced Directed Study,1586249375.280171,0,0,0,0,0,null,0
EECS 300 - Electrical Engineering Systems Design II,1586249404.9061491,25,25,0,0,0,lab_seats,1
EECS 301 - Probabilistic Methods in Engineering,1586249405.254849,64,0,64,0,0,disc_seats,1
EECS 311 - Analog Circuits,1586249405.7059882,30,21,0,0,0,lab_seats,1
EECS 312 - Digital Integrated Circuits,1586249406.0566158,31,0,31,0,0,disc_seats,1
"EECS 314 - Electrical Circuits, Systems and Applications",1586249406.6134698,157,157,157,0,0,lab_seats,1
EECS 320 - Introduction to Semiconductor Devices,1586249407.07452,54,0,54,0,0,disc_seats,1
EECS 330 - Introduction to Antennas and Wireless Systems,1586249407.530976,29,29,0,0,0,lab_seats,1
EECS 334 - Principles of Optics,1586249407.9731479,24,0,24,0,0,disc_seats,1
EECS 351 - Introduction to Digital Signal Processing,1586249408.404507,45,0,45,0,0,disc_seats,1
EECS 367 - Introduction to Autonomous Robotics,1586249408.8018,56,56,0,0,0,lab_seats,1
EECS 370 - Introduction to Computer Organization,1586249409.336429,622,0,617,0,0,disc_seats,1
EECS 373 - Introduction to Embedded System Design,1586249409.702537,58,58,0,0,0,lab_seats,1
EECS 376 - Foundations of Computer Science,1586249410.2387562,915,0,566,0,0,disc_seats,1
EECS 388 - Introduction to Computer Security,1586249410.6818361,364,364,0,0,0,lab_seats,1
EECS 399 - Directed Study,1586249412.3250718,0,0,0,0,0,null,0
EECS 402 - Computer Programming for Scientists and Engineers,1586249412.713244,26,0,26,0,0,disc_seats,1
EECS 409 - Data Science Seminar,1586249413.0854342,0,0,0,0,0,null,0
